"vCenter";"HostName";"ESXi_Version";"HostSockets";"HostCoresPerSocket";"HostMemoryGB";"HostPowerPolicy";"VMName";"VMNumSockets";"VMCoresPerSocket";"vCPUs";"VMMemoryGB";"VMCPUsOptimized";"OptimalSockets";"OptimalCores"
"vcenter.kazpost.kz";"172.30.73.201";"6.5.0";"2";"22";"512";"HighPerformance";"OREL 6.5 - tadbt";"1";"2";"2";"4";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.104";"6.5.0";"2";"22";"512";"Balanced";"CentOS 7 - Zabbix 3.0";"1";"8";"8";"16";"YES";"1";"8"
"vcenter.kazpost.kz";"172.30.73.237";"6.5.0";"2";"22";"512";"Balanced";"CentOS 7 - test.pay.post.kz";"1";"1";"1";"8";"YES";"1";"1"
"vcenter.kazpost.kz";"172.30.73.10";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenAppWF23";"4";"1";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.10";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenAppWF22";"4";"1";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"CentOS-KNB-test";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"RHEL - Mpost_nginx";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - FS01";"2";"2";"4";"4";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.104";"6.5.0";"2";"22";"512";"Balanced";"McAfee_ENMELM_VM12_1000";"8";"1";"8";"64";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.87";"6.5.0";"2";"22";"512";"Balanced";"Win 2016 - DCFR02";"4";"1";"4";"4";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Debian - Postamat";"1";"2";"2";"4";"YES";"1";"2"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"Win 2008R2 - FRTEMPLATE";"4";"2";"8";"16";"NO";"1";"8"
"vcenter.kazpost.kz";"172.30.73.109";"6.5.0";"2";"22";"512";"Balanced";"CentOS - testAsterisk";"2";"1";"2";"2";"NO";"1";"2"
