Name,core,cpu
"OREL 7.2 - SMSGateDB","4","8"
"WS08R2","4","8"
"Win 2008 - XenAppFR2","4","8"
"Win 7 - BrokerARMDEP","4","8"
"Win 2012 - TrendMicro","4","8"
"OREL - Hyper_NewDB","2","4"
"Win 2016 - KAVWS","2","4"
"Win 7 - pathwork2","2","4"
"OREL 7.1 - AISIM (IMKP) PROD","2","4"
"Win 2008 - IPSDB","2","4"
"Win 2008 - ARMBank","1","2"
"Win 2008 - SERVICETEST","1","2"
"Win 2012 - DeisAdmin","2","4"
"Win 2012 - OCR","2","4"
"Win 2008 - Postbank_new","2","4"
"Win 2008 - PostamatAPP","2","4"
"CentOS - CloudqDatabase","2","4"
"Win 2012 - PPI","2","4"
"Win 2012 - CERT","2","4"
"Win 2012 - CMDBv2","2","4"
"Win 2012 - Contacts","2","4"
"Win 2016 - ShareSap","2","4"
"Win 2012 - PresentCent","2","4"
"Win 2016 - CSFR","2","4"
"Win 2012 - FS01","2","4"
"Win 2012R2 - TestAi","2","4"
"Win 2003 - srvpodpiska (OLD)","1","2"
"Win 2012 - SRVpodpiska","1","2"
"Win 2012 - FtpHome","1","2"
"Win 2008 - Wiki","1","2"
"Win 2012 - ComposerSRV01","1","2"
"Win 2008 - Auditm","1","2"
"Win 2012 - WatchSRV16","1","2"
"Win 2008 - IPO2","1","2"
"Win 2008 - publicftp","1","2"
"Win 2012 - PUSRA","1","2"
"Win 2012 - ALMFS01","1","2"
"Win 2016 - HYBPOCHTA","1","2"
"Oracle Linux 7.3 - LogDB","1","2"
"Win 2008 - Autocontragent","1","2"
"Win 2003 - MPService CPILS","1","2"
"Win 2008 - DLPSQL","1","2"
"Win 2016 - KUC_VIDEO","1","2"
"Win 2008 - Armdeponent","1","2"
