"Name";"Descr"
"Win 2008 - XenApp6.5 - 04";"Описание: Win 2008 - XenApp6.5 - 04; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 10";"Описание: Win 2008 - XenApp6.5 - 10; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 106";"Описание: Win 2008 - XenApp6.5 - 106; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 108";"Описание: Win 2008 - XenApp6.5 - 108; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 11";"Описание: Win 2008 - XenApp6.5 - 11; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 113";"Описание: Win 2008 - XenApp6.5 - 113; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 115";"Описание: Win 2008 - XenApp6.5 - 115; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 116";"Описание: Win 2008 - XenApp6.5 - 116; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 117";"Описание: Win 2008 - XenApp6.5 - 117; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 119";"Описание: Win 2008 - XenApp6.5 - 119; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 131";"Описание: Win 2008 - XenApp6.5 - 131; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 139";"Описание: Win 2008 - XenApp6.5 - 139; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 144";"Описание: Win 2008 - XenApp6.5 - 144; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 150";"Описание: Win 2008 - XenApp6.5 - 150; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 156";"Описание: Win 2008 - XenApp6.5 - 156; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 157";"Описание: Win 2008 - XenApp6.5 - 157; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 16";"Описание: Win 2008 - XenApp6.5 - 16; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 17";"Описание: Win 2008 - XenApp6.5 - 17; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 174";"Описание: Win 2008 - XenApp6.5 - 174; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 182";"Описание: Win 2008 - XenApp6.5 - 182; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
